,T0,T1,T2,T3,T4,T5,T6,T21,F0,F1,F2,F3,F4,F5,F6,F21
3,54.152222222222214,43.02888888888889,517.7275000000001,0.0,0.0,1.7208333333333334,0.0,4.6963888888888885,33,19,144,0,0,1,0,2
4,115.97722222222224,66.05305555555557,22.97972222222222,8.039166666666667,89.5311111111111,2.1572222222222224,6.454166666666667,97.28000000000002,49,29,9,1,23,1,2,26
5,200.07361111111112,72.40444444444444,14.28888888888889,1.0544444444444445,0.0,1.2919444444444443,7.429166666666667,36.63027777777778,81,23,6,1,0,1,2,12
7,179.8841666666666,136.51250000000002,66.05694444444445,17.68611111111111,0.0,0.0,28.432222222222222,13.08222222222222,83,33,21,3,0,0,9,6
8,41.313611111111115,8.734444444444444,0.0,4.359444444444444,2.2230555555555553,1.7305555555555556,0.0,5.784722222222222,27,6,0,2,1,1,0,1
9,99.38083333333331,82.44805555555556,15.766666666666666,0.0,9.581944444444446,0.0,1.2952777777777778,508.65222222222224,29,34,6,0,3,0,1,141
10,58.35916666666667,40.72527777777778,1.3430555555555554,0.0,0.0,1.5019444444444445,0.0,4.921944444444444,28,12,1,0,0,1,0,2
11,49.35194444444445,79.39555555555555,249.46083333333337,1.6994444444444445,1.2155555555555555,0.0,0.0,15.451111111111112,24,23,57,1,1,0,0,6
12,6.878055555555555,50.54750000000001,2.476111111111111,0.0,0.0,0.0,0.0,0.0,3,15,1,0,0,0,0,0
13,7.156944444444445,2.5169444444444444,0.0,0.0,0.0,0.0,0.0,4.983333333333333,5,2,0,0,0,0,0,2
14,158.6363888888889,82.87194444444442,11.163888888888888,1.251111111111111,0.0,0.0,1.0305555555555554,633.923611111111,57,38,4,1,0,0,1,163
15,147.0341666666666,58.471666666666664,42.03833333333334,1.0527777777777778,4.793333333333333,8.032499999999999,0.0,19.206666666666667,68,23,14,1,2,4,0,4
16,174.52083333333343,37.47861111111111,31.90833333333333,63.88249999999998,12.096666666666666,2.285,6.286944444444445,26.55305555555556,72,11,8,19,8,1,4,11
17,30.82222222222222,27.54722222222222,21.68388888888889,0.0,0.0,0.0,0.0,7.336388888888889,13,8,6,0,0,0,0,4
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
20,155.63888888888889,65.42638888888888,44.26722222222223,2.533888888888889,3.686111111111111,0.0,10.670555555555556,6.641944444444444,73,15,16,1,1,0,5,2
21,338.43749999999994,158.58249999999992,58.94666666666667,10.942499999999999,3.7755555555555556,0.0,7.8758333333333335,44.83388888888889,113,76,16,5,1,0,2,16
22,66.69166666666668,70.45083333333334,227.7080555555555,14.143055555555556,3.6555555555555554,0.0,39.69527777777778,666.767222222222,34,30,61,3,1,0,8,224
23,15.124444444444444,40.07833333333333,62.90722222222223,0.0,0.0,1.4869444444444444,0.0,4.604444444444445,9,12,27,0,0,1,0,4
25,116.13388888888888,79.4897222222222,37.19638888888889,3.434722222222222,145.99750000000003,16.291944444444447,0.0,344.7144444444442,52,42,15,3,50,4,0,104
26,94.21055555555553,39.53944444444444,15.258055555555554,0.0,5.085555555555556,0.0,2.799722222222222,432.11500000000007,43,19,6,0,2,0,2,138
27,6.839722222222222,160.05305555555563,2.7325,0.0,61.611111111111114,18.626388888888886,6.654999999999999,197.37805555555556,5,79,2,0,24,4,2,75
29,13.671944444444446,4.687222222222222,0.0,0.0,0.0,0.0,0.0,1.5677777777777777,6,2,0,0,0,0,0,1
30,32.54277777777778,12.44361111111111,4.739444444444445,0.0,0.0,0.0,1.8047222222222221,31.086666666666662,9,6,2,0,0,0,1,12
31,70.66,43.83638888888888,27.150555555555552,117.16388888888893,0.0,0.0,4.311111111111111,321.18666666666667,27,12,10,32,0,0,3,81
35,237.02972222222218,166.37055555555554,4.2027777777777775,21.39027777777778,2.2736111111111112,0.0,12.053611111111111,483.3077777777777,91,46,2,6,1,0,5,175
36,243.7855555555555,59.17944444444444,18.18916666666667,0.0,0.0,0.0,0.0,9.65861111111111,99,18,5,0,0,0,0,2
37,97.31472222222226,19.81388888888889,16.624166666666667,2.419722222222222,1.2136111111111112,0.0,4.979444444444445,230.62138888888893,43,9,7,2,1,0,2,98
40,63.054722222222225,10.99388888888889,345.86833333333334,0.0,6.161111111111111,0.0,1.7938888888888889,0.0,25,4,103,0,2,0,1,0
43,27.732777777777777,148.12194444444447,7.846666666666667,4.369166666666667,0.0,0.0,2.8275,3.015833333333333,9,58,4,1,0,0,1,2
50,6.396944444444444,3.0294444444444446,0.0,0.0,0.0,0.0,2.4297222222222223,7.839444444444444,1,2,0,0,0,0,1,2
52,182.58361111111103,135.55749999999995,18.2275,8.159166666666666,1.1227777777777779,0.0,0.0,14.587777777777777,89,30,7,2,1,0,0,4
54,36.79972222222223,26.763333333333335,20.70861111111111,0.0,0.0,0.0,5.122777777777777,476.00555555555525,15,10,5,0,0,0,2,153
55,67.69416666666667,64.42916666666667,32.7125,18.88888888888889,0.0,0.0,21.050833333333333,457.86805555555543,30,26,14,5,0,0,6,176
56,93.01305555555557,322.8733333333334,106.40916666666666,2.7144444444444447,0.0,0.0,49.46777777777778,23.104444444444443,38,114,38,1,0,0,20,10
57,274.6550000000001,60.80583333333334,15.502222222222223,70.82777777777777,3.5216666666666665,0.0,5.763888888888889,9.75611111111111,100,15,3,16,2,0,2,2
67,43.03944444444445,0.0,4.123611111111111,0.0,0.0,0.0,0.0,0.0,16,0,1,0,0,0,0,0
68,68.40055555555557,111.93416666666667,14.14888888888889,1.3788888888888888,0.0,5.194166666666667,7.464166666666667,11.013055555555557,29,20,5,1,0,1,3,2
69,41.188333333333325,350.3911111111112,25.179999999999996,5.765833333333333,4.2725,0.0,4.725,3.7980555555555555,16,110,8,2,2,0,3,2
70,313.10500000000013,33.21527777777778,10.913611111111111,0.0,0.0,0.0,5.604166666666667,27.0,108,19,5,0,0,0,2,9
72,57.68083333333334,28.166388888888893,1.26,2.133611111111111,0.0,0.0,0.0,0.0,27,3,1,1,0,0,0,0
73,85.39999999999999,51.99833333333335,12.071111111111112,0.0,0.0,0.0,1.1394444444444445,28.603333333333335,25,23,3,0,0,0,1,10
74,124.00222222222222,42.50555555555555,282.6325000000001,2.5508333333333333,0.0,0.0,2.198888888888889,2.625,55,17,69,2,0,0,2,1
75,34.650555555555556,39.90277777777778,18.78861111111111,7.405277777777778,0.0,0.0,12.948055555555555,3.4227777777777777,12,9,6,1,0,0,4,2
76,13.206666666666667,80.27277777777778,20.290555555555557,3.6094444444444442,0.0,0.0,4.04,6.263055555555555,5,21,9,2,0,0,1,3
80,16.16305555555556,124.94111111111108,0.0,7.408611111111111,0.0,0.0,5.745833333333334,68.37194444444445,4,25,0,2,0,0,1,28
81,147.64916666666667,66.28777777777778,13.108333333333333,5.426944444444445,8.653055555555556,0.0,2.2194444444444446,0.0,32,18,4,2,2,0,1,0
82,71.80194444444443,40.320277777777775,2.971111111111111,29.7225,0.0,0.0,0.0,228.60027777777776,29,13,1,9,0,0,0,75
83,28.759999999999994,17.444444444444443,25.650555555555556,5.609166666666667,74.80083333333332,16.484166666666667,9.34361111111111,182.40333333333334,16,13,11,2,22,4,4,62
86,7.248333333333333,0.0,121.65222222222222,3.4908333333333337,11.35388888888889,0.0,0.0,9.870277777777776,4,0,38,2,4,0,0,3
89,91.43194444444444,36.63916666666667,32.07777777777778,10.766944444444446,1.8627777777777779,0.0,2.8072222222222223,292.0833333333333,24,14,9,5,1,0,1,95
90,133.70666666666668,53.90805555555555,11.674166666666666,0.0,0.0,0.0,0.0,8.445833333333333,60,11,3,0,0,0,0,2
92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0
93,31.276666666666667,7.780833333333334,4.144444444444445,0.0,0.0,0.0,0.0,0.0,16,2,1,0,0,0,0,0
94,9.894722222222223,13.388333333333334,2.203333333333333,0.0,1.495,0.0,0.0,0.0,4,7,1,0,1,0,0,0
95,7.254722222222222,5.689166666666667,0.0,0.0,0.0,0.0,2.547222222222222,0.0,5,3,0,0,0,0,1,0
96,51.878055555555555,440.33472222222224,68.0738888888889,2.4875,0.0,0.0,14.065833333333334,33.05694444444445,20,134,21,1,0,0,4,10
97,1.2205555555555556,23.916944444444443,0.0,0.0,0.0,0.0,0.0,2.586388888888889,1,8,0,0,0,0,0,1
99,19.6475,2.561111111111111,16.20111111111111,0.0,0.0,0.0,5.2275,9.519166666666667,12,2,5,0,0,0,2,3
100,47.688055555555565,34.61361111111111,11.475833333333334,3.7141666666666664,0.0,0.0,9.297222222222222,28.68916666666667,27,12,5,2,0,0,4,8
101,102.7313888888889,81.25916666666664,2.078888888888889,0.0,0.0,0.0,0.0,39.007222222222225,53,30,2,0,0,0,0,8
102,139.4313888888889,27.199166666666663,6.313888888888888,1.366111111111111,5.142222222222221,1.4619444444444445,10.7275,447.8644444444445,67,12,2,1,2,1,4,121
103,44.70138888888889,45.073055555555555,6.9255555555555555,10.145833333333334,0.0,9.967777777777778,0.0,27.169444444444448,21,18,4,4,0,1,0,10
